Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Arsenal,24,26.8,56.0,35,385,3150,35.0,63,47,110,59,4,4,45,0,1.8,1.34,3.14,1.69,3.03
Aston Villa,30,28.7,53.7,35,385,3150,35.0,45,34,79,45,0,0,54,1,1.29,0.97,2.26,1.29,2.26
Bournemouth,26,25.7,50.4,35,385,3150,35.0,54,32,86,49,5,6,81,1,1.54,0.91,2.46,1.4,2.31
Brentford,26,26.0,47.6,35,385,3150,35.0,50,32,82,42,8,10,63,1,1.43,0.91,2.34,1.2,2.11
Brighton,28,26.8,53.2,35,385,3150,35.0,48,31,79,45,3,5,85,0,1.37,0.89,2.26,1.29,2.17
Burnley,27,27.9,42.1,35,385,3150,35.0,32,25,57,30,2,2,60,3,0.91,0.71,1.63,0.86,1.57
Chelsea,29,24.9,58.4,35,385,3150,35.0,53,36,89,46,7,8,85,7,1.51,1.03,2.54,1.31,2.34
Crystal Palace,29,27.0,46.4,34,374,3060,34.0,35,21,56,28,7,7,71,2,1.03,0.62,1.65,0.82,1.44
Everton,22,28.2,43.5,35,385,3150,35.0,42,32,74,40,2,2,67,4,1.2,0.91,2.11,1.14,2.06
Fulham,24,29.0,51.2,35,385,3150,35.0,40,25,65,36,4,4,69,0,1.14,0.71,1.86,1.03,1.74
Leeds United,24,27.5,45.8,35,385,3150,35.0,46,24,70,41,5,7,59,1,1.31,0.69,2.0,1.17,1.86
Liverpool,24,27.4,59.7,35,385,3150,35.0,57,40,97,56,1,2,52,1,1.63,1.14,2.77,1.6,2.74
Manchester City,27,26.1,60.8,34,374,3060,34.0,66,53,119,63,3,4,60,0,1.94,1.56,3.5,1.85,3.41
Manchester Utd,27,26.8,52.2,35,385,3150,35.0,60,42,102,56,4,6,58,3,1.71,1.2,2.91,1.6,2.8
Newcastle United,25,27.5,52.3,35,385,3150,35.0,49,28,77,43,6,6,64,3,1.4,0.8,2.2,1.23,2.03
Nottingham Forest,31,26.7,46.8,35,385,3150,35.0,43,30,73,40,3,3,56,1,1.23,0.86,2.09,1.14,2.0
Sunderland,29,26.0,44.5,35,385,3150,35.0,34,21,55,30,4,5,77,3,0.97,0.6,1.57,0.86,1.46
Tottenham Hotspur,30,26.1,50.1,35,385,3150,35.0,44,35,79,44,0,0,92,4,1.26,1.0,2.26,1.26,2.26
West Ham United,32,27.0,42.7,35,385,3150,35.0,40,27,67,37,3,3,63,3,1.14,0.77,1.91,1.06,1.83
Wolves,30,26.7,43.9,35,385,3150,35.0,24,17,41,22,2,4,75,3,0.69,0.49,1.17,0.63,1.11
